Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
1,Bourke Street Mall (North),Bou292_T,24/3/2009,,Outdoor,A,East,West,-37.81349441,144.9651532,"-37.81349441, 144.96515323",156,91,57,45,22,17,29,68,243,606,1270,2075,2634,3006,3132,3140,2953,2461,1769,1387,865,599,495,335
2,Bourke Street Mall (South),Bou283_T,30/3/2009,,Outdoor,A,East,West,-37.81380668,144.9651672,"-37.81380668, 144.96516718",155,105,76,61,20,15,22,47,146,454,997,1590,1976,2207,2308,2249,2024,1612,1041,698,575,482,491,296
3,Melbourne Central,Swa295_T,25/3/2009,,Outdoor,A,North,South,-37.81101524,144.9642949,"-37.81101524, 144.96429485",895,596,365,276,128,87,82,114,216,448,767,1222,1770,2255,2450,2394,2319,2341,2318,2389,2266,2033,1828,1461
4,Town Hall (West),Swa123_T,23/3/2009,,Outdoor,A,North,South,-37.81487988,144.9660878,"-37.81487988, 144.9660878",550,327,194,120,57,45,71,174,427,974,1748,2690,3412,3956,4119,3961,3772,3357,2692,2380,2043,1926,1704,1263
5,Princes Bridge,PriNW_T,26/3/2009,,Outdoor,A,North,South,-37.81874249,144.9678766,"-37.81874249, 144.96787656",570,284,150,97,63,69,107,177,326,657,1085,1645,2170,2615,2394,2429,2733,2594,2464,2320,1923,2086,2174,1416
6,Flinders Street Station Underpass,FliS_T,25/3/2009,Upgraded on 8/09/21,Outdoor,A,North,South,-37.81911705,144.9655826,"-37.81911705, 144.96558255",601,304,166,114,72,81,140,242,434,752,1069,1408,1547,1688,1802,1877,1961,2015,1848,1662,1449,1374,1412,1149
7,Birrarung Marr,FedPed_T,17/12/2014,,Outdoor,A,East,West,-37.81862929,144.971694,"-37.81862929, 144.97169395",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Webb Bridge,WebBN_T,24/3/2009,,Outdoor,A,North,South,-37.82293543,144.9471751,"-37.82293543, 144.9471751",25,13,6,4,3,6,24,69,115,199,291,334,341,348,351,377,364,329,271,213,148,131,129,82
9,Southern Cross Station,Col700_T,23/3/2009,,Outdoor,A,East,West,-37.81982992,144.9510256,"-37.81982992, 144.95102555",38,23,16,13,7,10,27,45,88,105,140,139,178,175,158,157,184,188,180,167,141,134,164,144
10,Victoria Point,BouHbr_T,23/4/2009,,Outdoor,A,East,West,-37.81876474,144.9471055,"-37.81876474, 144.94710545",22,9,6,5,4,5,20,25,53,86,109,104,93,91,97,105,118,142,156,174,133,122,138,111
11,Waterfront City,WatCit_T,20/1/2009,,Outdoor,A,East,West,-37.81564989,144.9397069,"-37.81564989, 144.93970694",16,6,4,2,2,2,10,32,52,70,122,169,192,202,219,227,222,225,174,180,188,145,137,92
12,New Quay,NewQ_T,21/1/2009,,Outdoor,A,East,West,-37.81457988,144.942924,"-37.81457988, 144.94292398",79,34,15,11,6,7,24,67,125,203,316,386,432,475,479,526,584,624,743,766,624,597,563,327
14,Sandridge Bridge,SanBri_T,24/3/2009,Sensor relocated to sensor ID 25 on 2/10/2019,Outdoor,A,North,South,-37.82011242,144.962919,"-37.82011242, 144.96291897",238,135,88,57,45,41,61,103,187,312,428,536,554,602,626,652,681,717,677,579,533,503,541,430
17,Collins Place (South),Col15_T,30/3/2009,Device is upgraded in 26/02/2020,Outdoor,A,East,West,-37.81362543,144.9732359,"-37.81362543, 144.97323591",68,33,22,15,14,23,54,70,125,197,241,301,327,311,303,318,346,388,364,329,273,224,255,207
18,Collins Place (North),Col12_T,30/3/2009,,Outdoor,A,East,West,-37.81344862,144.9730535,"-37.81344862, 144.97305353",30,15,9,5,4,6,10,22,56,95,132,171,206,191,190,186,197,166,140,108,88,75,96,78
19,Chinatown-Swanston St (North),LtB210_T,2/9/2013,,Outdoor,A,East,West,-37.81237202,144.9655067,"-37.81237202, 144.96550671",366,233,140,94,36,18,15,25,56,143,315,608,947,1149,1089,1039,1040,1192,1315,1382,1251,1107,973,671
