Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
1,Bourke Street Mall (North),Bou292_T,24/3/2009,,Outdoor,A,East,West,-37.81349441,144.9651532,"-37.81349441, 144.96515323",46,23,9,9,6,21,69,178,369,603,948,1509,2219,2468,2177,2019,2005,2180,1625,1031,559,349,228,70
2,Bourke Street Mall (South),Bou283_T,30/3/2009,,Outdoor,A,East,West,-37.81380668,144.9651672,"-37.81380668, 144.96516718",56,25,19,7,14,16,41,137,349,473,625,1009,1673,1703,1306,1245,1092,1043,774,544,292,269,124,75
3,Melbourne Central,Swa295_T,25/3/2009,,Outdoor,A,North,South,-37.81101524,144.9642949,"-37.81101524, 144.96429485",224,150,105,59,73,63,139,213,644,743,914,1332,2143,2143,2087,2118,2258,2402,2229,1908,1763,1372,786,533
4,Town Hall (West),Swa123_T,23/3/2009,,Outdoor,A,North,South,-37.81487988,144.9660878,"-37.81487988, 144.9660878",83,49,34,36,25,71,195,398,1009,1159,1669,2034,2990,3204,2828,2649,2780,2827,2315,1717,1319,1080,611,329
5,Princes Bridge,PriNW_T,26/3/2009,,Outdoor,A,North,South,-37.81874249,144.9678766,"-37.81874249, 144.96787656",137,39,38,43,34,106,237,614,1213,1224,1541,1341,2211,2027,1943,1717,1918,2407,1953,1733,1334,887,1328,289
6,Flinders Street Station Underpass,FliS_T,25/3/2009,Upgraded on 8/09/21,Outdoor,A,North,South,-37.81911705,144.9655826,"-37.81911705, 144.96558255",128,29,27,19,39,139,418,966,2467,1463,952,984,1446,1689,1447,1512,1901,3167,1973,1366,1189,925,729,423
7,Birrarung Marr,FedPed_T,17/12/2014,,Outdoor,A,East,West,-37.81862929,144.971694,"-37.81862929, 144.97169395",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Webb Bridge,WebBN_T,24/3/2009,,Outdoor,A,North,South,-37.82293543,144.9471751,"-37.82293543, 144.9471751",1,2,1,N/A,1,8,70,264,373,241,230,256,504,413,275,282,375,512,324,222,159,103,43,17
9,Southern Cross Station,Col700_T,23/3/2009,,Outdoor,A,East,West,-37.81982992,144.9510256,"-37.81982992, 144.95102555",4,3,3,5,4,45,217,782,1998,1364,495,491,852,759,623,756,1613,1822,780,249,109,80,65,50
10,Victoria Point,BouHbr_T,23/4/2009,,Outdoor,A,East,West,-37.81876474,144.9471055,"-37.81876474, 144.94710545",N/A,1,N/A,1,2,5,55,226,295,249,114,112,179,165,110,176,274,245,114,64,47,23,22,10
11,Waterfront City,WatCit_T,20/1/2009,,Outdoor,A,East,West,-37.81564989,144.9397069,"-37.81564989, 144.93970694",1,N/A,2,1,N/A,6,15,72,70,72,60,69,106,61,78,45,73,87,150,203,175,82,45,17
12,New Quay,NewQ_T,21/1/2009,,Outdoor,A,East,West,-37.81457988,144.942924,"-37.81457988, 144.94292398",11,5,9,5,7,19,67,151,230,221,195,173,306,241,179,257,233,350,381,491,424,291,182,62
14,Sandridge Bridge,SanBri_T,24/3/2009,Sensor relocated to sensor ID 25 on 2/10/2019,Outdoor,A,North,South,-37.82011242,144.962919,"-37.82011242, 144.96291897",49,7,9,4,14,63,132,342,678,437,269,302,403,485,386,436,588,906,599,395,371,292,220,132
17,Collins Place (South),Col15_T,30/3/2009,Device is upgraded in 26/02/2020,Outdoor,A,East,West,-37.81362543,144.9732359,"-37.81362543, 144.97323591",32,3,6,24,8,40,171,504,1289,795,603,552,1208,1215,653,593,627,854,453,202,195,112,103,69
18,Collins Place (North),Col12_T,30/3/2009,,Outdoor,A,East,West,-37.81344862,144.9730535,"-37.81344862, 144.97305353",3,N/A,2,2,1,15,96,345,1047,573,374,327,368,514,337,358,572,883,384,138,43,20,13,8
19,Chinatown-Swanston St (North),LtB210_T,2/9/2013,,Outdoor,A,East,West,-37.81237202,144.9655067,"-37.81237202, 144.96550671",100,33,14,9,5,14,28,45,110,118,291,530,921,870,785,851,732,839,1013,1001,801,675,329,174
20,Chinatown-Lt Bourke St (South),LtB170_T,6/9/2013,,Outdoor,A,East,West,-37.81172914,144.9682466,"-37.81172914, 144.9682466",50,12,7,10,3,10,25,58,94,124,180,304,410,446,261,252,238,301,401,462,369,238,157,75
21,Bourke St-Russell St (West),Rus180_T,2/9/2013,,Outdoor,A,North,South,-37.81244703,144.9677876,"-37.81244703, 144.96778757",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
23,Spencer St-Collins St (South),Col623_T,2/9/2013,,Outdoor,A,East,West,-37.81909256,144.9545275,"-37.81909256, 144.95452748",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
